,imp_r,perm_r,mi_r,auc_r,corr_r,missing_penalty,score
cons_lag2,0.9999999999565218,0.9999999999565218,0.0,0.0,0.0,0.8281556761750779,0.5414077837870148
roll24_zero_ratio,0.9565217390888469,0.913043478221172,0.04347826086767486,0.0,0.0,1.0,0.5282608695444234
roll3_max,0.913043478221172,0.9565217390888469,0.08695652173534972,0.0,0.0,0.8776995034068599,0.5264936708015339
roll24_mean,0.8260869564858223,0.8695652173534971,0.21739130433837428,0.0,0.0,0.9859491088270393,0.514514846725473
flag_anom_32768,0.7826086956181475,0.8260869564858223,0.17391304347069944,0.0,0.0,1.0,0.4847826086767486
cons_z_meter,0.8695652173534971,0.7826086956181475,0.13043478260302457,0.0,0.0,0.7236401432036033,0.4796602680104637
roll12_mean,0.7391304347504726,0.7391304347504726,0.26086956520604915,0.0,0.0,0.9618123724833506,0.46982974904061364
delta2,0.6956521738827978,0.6956521738827978,0.304347826073724,0.0,0.0,0.7844631789660084,0.4479188111044441
period_hours,0.6521739130151228,0.6521739130151228,0.3478260869413989,0.0,0.0,1.0,0.44565217389584116
consumption,0.608695652147448,0.608695652147448,0.39130434780907375,0.0,0.0,0.8287331100588983,0.4240453511384837
delta1,0.5652173912797731,0.5652173912797731,0.43478260867674856,0.0,0.0,0.8030180544327674,0.40971612009687464
roll24_min,0.5217391304120983,0.47826086954442343,0.47826086954442343,0.0,0.0,0.9859491088270393,0.3971235423827508
roll24_std,0.43478260867674856,0.5217391304120983,0.5652173912797731,0.0,0.0,0.9825614967086269,0.3969541617768302
roll3_zero_ratio,0.47826086954442343,0.43478260867674856,0.5217391304120983,0.0,0.0,1.0,0.38478260868109637
roll12_max,0.39130434780907375,0.39130434780907375,0.608695652147448,0.0,0.0,0.9618123724833506,0.36548192295819404
roll12_std,0.304347826073724,0.3478260869413989,0.6956521738827978,0.0,0.0,0.9513030757978211,0.3475651537768476
roll3_std,0.3478260869413989,0.304347826073724,0.6521739130151228,0.0,0.0,0.8251530199792124,0.33690982489914967
flag_zero_consumption,0.26086956520604915,0.26086956520604915,0.7391304347504726,0.0,0.0,1.0,0.3282608695531191
roll24_max,0.17391304347069944,0.21739130433837428,0.8260869564858223,0.0,0.0,0.9859491088270393,0.3101670206474012
roll3_min,0.21739130433837428,0.17391304347069944,0.7826086956181475,0.0,0.0,0.8776995034068599,0.3004067142896247
roll12_min,0.13043478260302457,0.13043478260302457,0.8695652173534971,0.0,0.0,0.9618123724833506,0.28722105339637927
cons_lag1,0.08695652173534972,0.04347826086767486,0.9565217390888469,0.0,0.0,0.8284251453208608,0.2675082137779523
roll3_mean,0.04347826086767486,0.08695652173534972,0.913043478221172,0.0,0.0,0.8776995034068599,0.2569284534219498
roll12_zero_ratio,0.0,0.0,0.9999999999565218,0.0,0.0,1.0,0.24999999999130434
