,mean_perm,std_perm
roll12_zero_ratio,0.3922472825480473,0.03885130796232711
cons_lag1,0.3909714670299328,0.03663031632728055
roll3_mean,0.37370877641130823,0.029403860256081372
roll12_min,0.3720499763287683,0.02457372819325214
roll3_min,0.34619715935121764,0.037906767161489344
roll24_max,0.3071294550485565,0.03023331107517175
flag_zero_consumption,0.2906063787072619,0.030990679115484383
roll3_std,0.26536843296745505,0.02739180615902977
roll12_std,0.25910234609328286,0.04228367680572441
roll12_max,0.23468814277871208,0.02521643877662599
roll3_zero_ratio,0.23267939547716404,0.03239270454430672
roll24_min,0.20399036664664977,0.022710116692475787
roll24_std,0.1841230207016908,0.03360878085346649
delta1,0.17935825707083589,0.027624836364671668
consumption,0.14315233302531918,0.04973555340329308
period_hours,0.13683447585955663,0.02305065931584807
delta2,0.1228755143391603,0.023898024279845262
roll12_mean,0.09629557755357136,0.031450094504676666
cons_z_meter,0.08913725894763116,0.016725633942872565
flag_anom_32768,0.06512798657074752,0.03538207747240676
roll24_mean,0.059182848080316215,0.028935898899502432
roll24_zero_ratio,0.032956764146246584,0.034318338284071014
roll3_max,0.021509087304799685,0.03189610403076939
cons_lag2,-0.008625090967212163,0.04055641543810404
